Current (A),Voltage (V),Load Condition
0.0,0.0,Load 0
0.0,18.76,Load 0
0.0,18.76,Load 0
0.0,18.5,Load 0
0.0,20.0,Load 0
0.0,18.95,Load 0
0.0,19.44,Load 0
0.0,20.0,Load 0
0.0,18.76,Load 0
0.0,18.76,Load 0
0.0,18.82,Load 0
0.0,18.76,Load 0
0.0,18.82,Load 0
0.0,18.57,Load 0
0.0,18.69,Load 0
0.0,18.76,Load 0
0.0,18.82,Load 0
0.0,18.44,Load 0
0.0,0.0,Load 0
0.0,0.0,Load 0
0.0,0.0,Load 0
0.0,0.16,Load 0
0.0,0.24,Load 0
0.0,0.0,Load 0
0.0,0.0,Load 0
0.0,0.0,Load 0
0.0,0.31,Load 0
0.0,0.0,Load 0
0.0,0.16,Load 0
0.0,0.39,Load 0
0.0,0.0,Load 0
0.0,0.0,Load 0
0.0,0.0,Load 0
0.0,0.24,Load 0
0.0,0.0,Load 0
0.0,17.92,Load 0
0.0,0.0,Load 0
0.0,0.0,Load 0
1.4,13.32,Load 1
1.67,14.46,Load 1
1.67,14.2,Load 1
1.95,14.98,Load 1
1.67,14.72,Load 1
1.67,14.52,Load 1
1.67,14.33,Load 1
1.67,14.26,Load 1
1.67,14.26,Load 1
1.67,14.26,Load 1
1.67,14.13,Load 1
1.67,14.0,Load 1
1.67,13.91,Load 1
1.67,13.83,Load 1
1.67,13.83,Load 1
1.67,13.83,Load 1
1.67,14.72,Load 1
1.67,14.78,Load 1
1.67,14.59,Load 1
1.67,14.52,Load 1
1.67,14.46,Load 1
1.67,14.72,Load 1
1.67,14.59,Load 1
1.67,14.78,Load 1
1.67,14.59,Load 1
1.67,14.85,Load 1
1.95,14.91,Load 1
1.4,14.78,Load 1
1.67,14.91,Load 1
1.67,15.13,Load 1
1.67,15.13,Load 1
1.67,15.6,Load 1
1.67,14.52,Load 1
1.67,14.52,Load 1
1.67,14.52,Load 1
1.67,14.52,Load 1
1.67,14.98,Load 1
1.4,12.63,Load 1
1.67,14.78,Load 1
1.67,14.72,Load 1
1.67,13.49,Load 1
1.67,14.06,Load 1
1.67,14.06,Load 1
1.67,13.91,Load 1
1.67,14.13,Load 1
1.67,14.13,Load 1
1.67,14.2,Load 1
1.4,14.06,Load 1
1.67,14.2,Load 1
1.67,14.33,Load 1
1.67,14.33,Load 1
1.67,14.39,Load 1
1.67,14.65,Load 1
1.67,14.91,Load 1
1.67,13.49,Load 1
1.67,14.0,Load 1
1.67,14.26,Load 1
1.67,14.13,Load 1
1.67,14.0,Load 1
1.67,13.91,Load 1
1.67,15.13,Load 1
1.67,13.32,Load 1
1.67,13.66,Load 1
1.67,14.78,Load 1
1.67,14.46,Load 1
1.67,13.74,Load 1
1.67,14.2,Load 1
1.67,14.13,Load 1
1.67,14.13,Load 1
1.67,14.06,Load 1
1.67,14.0,Load 1
1.67,14.0,Load 1
1.67,14.0,Load 1
1.67,13.83,Load 1
1.67,13.91,Load 1
1.4,14.65,Load 1
1.67,13.91,Load 1
1.4,13.83,Load 1
1.67,14.39,Load 1
1.67,13.66,Load 1
1.95,14.72,Load 1
1.67,14.65,Load 1
1.67,14.72,Load 1
1.67,14.72,Load 1
1.67,14.78,Load 1
1.67,14.78,Load 1
1.67,14.72,Load 1
1.95,14.85,Load 1
1.67,14.2,Load 1
1.67,14.06,Load 1
1.67,14.72,Load 1
1.67,15.13,Load 1
1.95,14.98,Load 1
1.67,14.52,Load 1
1.95,15.05,Load 1
1.67,14.98,Load 1
1.67,15.05,Load 1
1.95,15.45,Load 1
1.67,14.72,Load 1
1.67,15.6,Load 1
1.67,15.6,Load 1
1.67,15.29,Load 1
1.67,14.72,Load 1
1.67,14.65,Load 1
1.67,14.72,Load 1
1.67,14.72,Load 1
1.67,14.78,Load 1
1.67,14.78,Load 1
1.67,14.85,Load 1
1.67,14.85,Load 1
1.67,14.85,Load 1
1.95,14.85,Load 1
1.67,14.91,Load 1
1.67,14.91,Load 1
1.67,14.98,Load 1
1.67,14.98,Load 1
1.67,15.05,Load 1
1.67,15.05,Load 1
1.67,15.05,Load 1
1.67,15.52,Load 1
1.67,14.46,Load 1
1.67,14.72,Load 1
1.95,14.52,Load 1
1.67,14.46,Load 1
1.67,14.78,Load 1
1.67,14.65,Load 1
1.67,14.72,Load 1
1.67,14.72,Load 1
1.67,14.72,Load 1
1.67,14.78,Load 1
1.67,14.85,Load 1
1.67,14.85,Load 1
1.67,14.91,Load 1
1.67,15.05,Load 1
1.67,15.05,Load 1
1.67,15.13,Load 1
1.67,14.78,Load 1
1.67,14.78,Load 1
1.67,14.59,Load 1
1.67,15.37,Load 1
1.67,14.33,Load 1
1.67,14.33,Load 1
1.67,14.78,Load 1
1.67,15.29,Load 1
1.67,13.91,Load 1
1.67,14.72,Load 1
1.67,14.72,Load 1
1.67,14.72,Load 1
1.67,14.13,Load 1
1.67,14.85,Load 1
1.67,14.98,Load 1
1.67,14.85,Load 1
1.67,14.72,Load 1
1.67,14.85,Load 1
1.67,15.05,Load 1
1.67,14.13,Load 1
1.4,14.59,Load 1
1.67,15.13,Load 1
1.95,14.26,Load 1
1.95,15.29,Load 1
1.4,15.6,Load 1
1.95,14.2,Load 1
1.67,14.98,Load 1
1.67,14.85,Load 1
1.67,15.6,Load 1
1.67,14.52,Load 1
1.67,13.66,Load 1
1.67,14.65,Load 1
1.67,14.39,Load 1
1.67,14.13,Load 1
1.4,14.0,Load 1
1.67,14.39,Load 1
1.67,14.0,Load 1
1.67,14.0,Load 1
1.67,13.91,Load 1
1.67,13.74,Load 1
1.4,13.91,Load 1
1.67,13.49,Load 1
1.67,14.06,Load 1
1.67,13.91,Load 1
1.4,13.4,Load 1
